,0,1,2
8448,Steven,Putnam,/ Zach Putnam
8458,Mike,Dunn,(Glen)
8477,Adam,Eaton,(Cory)
8487,Hyun,Jin,Ryu / Hyun-Jin Ryu
8513,Marco,Hernandez,(Antonio)
8516,Nate,Jones,(Andrew)
8525,Ian,Kennedy,(Patrick)
8531,Zach,Britton,/ Zack Britton (Grant)
8534,Jose,Martinez,(Alberto)
8535,Brett,Anderson,(Franklin)
8557,Alvin,Toles,/ Andrew Toles
8574,Ryan,Braun,(Joseph)
8575,Jim,Adduci,(Charles)
8589,James,Weber,/ Ryan Weber
8598,Carlos,Gomez,(Argelis)
8604,Abraham,Almonte,(b. 1989-06-27)
8606,strained,right,quadriceps (DTD)
8609,sprained,left,thumb (DTD)
8624,Brad,Miller,(Austin)
8629,Justin,Turner,(Matthew)
8666,Tom,Milone,/ Tommy Milone
8676,Jose,Diaz,/ Jumbo Diaz
8684,Ryan,Braun,(Joseph)
8720,Michael,Morse,/ Mike Morse
8743,Robbie,Ross,Jr.
8750,Eduardo,Rodriguez,(Jos̩)
8758,Tyler,Anderson,(John)
8782,Brad,Miller,(Austin)
8784,Hector,Santiago,(Felipe)
8791,Michael,Morse,/ Mike Morse
8797,Rickie,Weeks,Jr.
8824,Lance,McCullers,Jr.
8837,Chris,Davis,(Lyn)
8844,(Christopher),Brian,Johnson
8853,Mike,Wright,Jr.
8856,Victor,Martinez,(Jesus)
8868,Miguel,Gonzalez,(Angel)
8873,Joe,Smith,(Michael)
8878,left,hand/finger,injury (DTD)
8883,David,Norris,/ Bud Norris
8904,(David),Chris,Hatcher
8906,Miguel,Diaz,(Angel)
8933,Carlos,Gonzalez,(Eduardo)
8934,Tyler,Anderson,(John)
8969,Robert,Anderson,/ Chase Anderson
8972,Christopher,Austin,/ Tyler Austin
8981,Daniel,Robertson,(Ray)
9010,Hyun,Jin,Ryu / Hyun-Jin Ryu
9021,Hector,Santiago,(Felipe)
9030,Rubby,De,La Rosa
9039,Michael,Taylor,(Anthony)
9066,Joe,Ross,(Andrew)
9078,Joe,Kelly,(William)
9114,Reymond,Fuentes,/ Rey Fuentes
9214,Lance,McCullers,Jr.
9231,Andrew,Miller,(Mark)
9242,Miguel,Montero,(Angel) (b. 1983-07-09)
9276,Cesar,Valdez,(Miguel)
9306,Miguel,Gomez,(Angel)
9329,Jacob,Lugo,/ Seth Lugo
9344,Jose,Reyes,(Bernabe)
9359,Abraham,Almonte,(b. 1989-06-27)
9376,Carlos,Gomez,(Argelis)
9395,Andrew,Miller,(Mark)
9408,Miguel,Almonte,(Emilio)
9415,Jackie,Bradley,Jr.
9446,Josh,Fields,(David)
9448,Victor,Martinez,(Jesus)
9458,David,Norris,/ Bud Norris
9541,Pedro,Florimon,Jr.
9553,Billy,Hamilton,(R.)
9605,Caleb,Smith,(Anthony)
9764,Jose,Torres,(Marcos)
9766,Todd,Smyly,/ Drew Smyly
